주소,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건_사고 분류1,사건_사고 분류2,사건_사고 분류3,개체명(인물),개체명(지역),개체명(기업_기관),키워드,특성추출,본문,원본주소
1,2021-08-01,서울경제,오승현 기자,좀처럼 꺾이지 않는 코로나19 확산세…인적 드문 광장시장,경제>부동산,문화>문화일반,,,,,,"광장시장, 서울, 종로구",광장시장,"코로나19,확산세,인적,광장시장,사회,거리,4단계,격상,확진자,코로나19,신규,연일,자릿수,발생,자릿수,확산세,서울,종로구,광장시장,모습,전집,운영,상인,4단계,점포,시장,사람,어려움,호소","광장시장,4단계,자릿수,코로나19,확산세,서울,확진자,종로구,점포,거리,신규,호소,어려움,사람,운영,시장,전집,상인,발생,모습,연일,격상,인적,사회",사회적 거리두기가 4단계로 격상된 지 3주가 지났지만 코로나19 신규 확진자 수가 연일 네 자릿수 이상 발생하며 좀처럼 확산세가 꺾이지 않고 있는 1일 서울 종로구 광장시장이 한산한 모습을 보이고 있다. 전집을 운영하는 한 상인은 4단계 이후 점포 손님은커녕 시장을 찾는 사람이 없다고 어려움을 호소했다./오승현 기자 2021.08.01,http://www.sedaily.com/NewsView/22Q0Q5B1DH
2,2021-08-01,서울경제,오승현 기자,사회적 거리두기 4단계 3주째…활기 잃은 광장시장,문화>문화일반,,,,,,,"광장시장, 서울, 종로구",광장시장,"사회,거리,활기,광장시장,사회,거리,4단계,격상,확진자,코로나19,신규,연일,자릿수,발생,자릿수,확산세,서울,종로구,광장시장,모습,전집,운영,상인,4단계,점포,시장,사람,어려움,호소","광장시장,4단계,자릿수,코로나19,서울,확진자,확산세,종로구,시장,거리,신규,점포,호소,어려움,운영,전집,사람,발생,상인,모습,연일,활기,격상,광장,사회",사회적 거리두기가 4단계로 격상된 지 3주가 지났지만 코로나19 신규 확진자 수가 연일 네 자릿수 이상 발생하며 좀처럼 확산세가 꺾이지 않고 있는 1일 서울 종로구 광장시장이 한산한 모습을 보이고 있다. 전집을 운영하는 한 상인은 4단계 이후 점포 손님은커녕 시장을 찾는 사람이 없다고 어려움을 호소했다./오승현 기자 2021.08.01,http://www.sedaily.com/NewsView/22Q0Q1I96V
3,2021-08-01,전북도민일보,장정훈 기자,<2021 미스변산> 미스변산 제일건설 이선민 양,스포츠>올림픽_아시안게임,문화>전시_공연,,,,,,"캐나다, 미국, 전북, 변산, 미스변산 선발대회, 빅토리아주립대, 부안","제일건설, 변산 선발대회","미스,변산,미스변산,건설,이선민,전문,통역사,도전,공부,노력,역사,전통,대회,미스,변산,참가,선발대회,미스,변산,선발,대회,제일건설,수상,이선민,미소,이선민,코로나19,추억,자신,사랑,부모님,지인들,감사,수상,소감,이날,나이,분야,도전,경험,미스,변산,선발,대회,변화,미국,고등학교,시작,캐나다,빅토리아주립대,재학중,코로나19,전북,거주,생화학,공부,통역사,만큼,약학,전문,최선,이선민,미스,변산,대회,고생,참가자들,인연,추억,미스,변산,선발,대회,명예,전북,부안,변산","미스변산,이선민,변산,전북,만큼,코로나19,통역사,선발대회,참가자,캐나다,지인들,부모님,빅토리아주립대,고등학교,재학중,참가자들,미국,생화학,제일건설,부안,대회,미스,수상,공부,추억,도전,전문,인연,시작,부모,지인,사랑,이날,나이,역사,감사,소감,자신","“약한전문 통역사, 도전 위한 공부ㆍ노력 멈추지 않을 것” .. .. ..“역사와 전통이 있는 미스 변산 대회에 참가해 상까지 받게 하니 너무 기쁘다” .. .. ..제32회 미스변산 선발대회에서 ..‘제일건설’ 상을 수상한 이선민..“코로나19로 힘든 부분이 많았지만 좋은 추억이 생겨 너무 뜻깊다”며 .. 코로나19로 현재는 전북에 거주하고 있다”며 ..",http://www.domin.co.kr/news/articleView.html?idxno=1349293
4,2021-08-01,전북도민일보,김미진 기자,2021 제32회 미스변산 선발대회…영예의 진(眞) 임차은 양,문화>문화일반,,,,,,"유진수, 김택수, 문찬기, 김창조, 최훈열, 김동희, 임환, 구성진, 김경진, 김종택","전주, 박류경, 일본, 미스변산 선발대회, 황주, 실내체육관, 전북도의원, 변산반도, 스페인, 부안군, 전북도민일보, 전주한옥마을, 부안","진로, 롯데백화점, 하이트, 전북대, 변산해수욕장, 성원, 제일건설, 전북은행, JTV전주방송, 부안군의회, 부안군, 미스, 제일건설ㆍ(주)아토큐엔에이, 주혜원","미스,변산,선발,대회,영예,임차,선발대회,미스,변산,선발,대회,임차은,왕관,차지,안소희,주혜원,미스,변산,더마버드,화장품,박류경,미스,변산,제일,건설,이선민,미스,변산,부안,참뽕,최한내,7명,본상,이름,전북도민일보,21세기,비전창조연구원,주최,부안군,전북은행,특별후원,하이트,진로,제일건설ㆍ,아토큐엔에이,솔라파크코리아ㆍ영원인터내셔널,롯데백화점,전주점,협찬,대회,실내체육관,부안,실내,체육관,개최,이날,대회,회장,전북도민일보,김택수,임환,사장,부군수,김종택,부안군,의장,문찬기,부안군의회,최훈열,전북도,의원,자치행정국장,김창조,부안군,자치,행정,국장,인원,입장,출전자들,격려,아나운서,유진수,JTV,전주방송,미스,변산,출신,김동희,사회,대회,15명,미인들,본선,무대,매력,출전자들,코로나19,합숙,훈련,진행,무대,상대,서로,격려,대회,진행,마스크,불편,얼굴,위킹,무대매너,목소리,자신감,모습,영어,스페인어,일본어,실력,외국어,소통,기본,질문,똑소리,특별,잠재력,후보,민요,음악,초등학교,활동,이력,합기,유단자,경력,전주한옥,마을,관광,안내,봉사,활동,경험,공개,자신,매력,집중,결과,본상,특별상,스마일상,강설원,이선민,매너상,주보람,우정상,김혜빈,황다연,이름,향토미인상,황주영,교양상,유은정,최한내,포토제닉상,박은지,노력상,주혜원,기쁨,특별상,특별상,특별상,유서현,부행장,김경진,전북은행,코로나19,백사장,바닷바람,축제,아쉬움,출전자들,면면,역사,전통,자리,생각,후보자들,외면,재능,교양,인터뷰,임기응변,심사,임환,사장,코로나19,고민,고민,변산해수욕장,실내,최소,인원,축소,진행,어려움,불편,마음,그동안,대회,배출,여성들,분야,활동,청년들,사회,진출,기회,변산반도,관광,홍보,도움,출전,미인들,분야,활동,성원,관심,부탁,이날,코로나19,예방,수칙,열체크,손소독,마스크,착용,객석,거리,대회,진행","코로나19,부안군,특별상,변산,전북도민일보,부안,전북은행,유진수,최한내,출전자들,주혜원,이선민,출전자,선발대회,최훈열,변산반도,외국어,미인들,부안군의회,임환,김창조,김경진,문찬기,김택수,김종택,김동희","출전자들은 코로나19로 인해 합숙 훈련도 진행할 수 없어 어색할 법도 했지만 무대에서 상대를 위해주고 서로를 격려했다.....코로나19로 인해 백사장에서 시원한 바닷바람을 즐기며 축제를 열지 못해 아쉬움이 크지만, 출전자들의 면면을..한편, 이날에는 코로나19 예방수칙에 따라 열체크, 손소독, 마스크 착용, 객석 거리 두기 등을 지키며 대회를 진행했다...",http://www.domin.co.kr/news/articleView.html?idxno=1349363
5,2021-08-01,한국경제,빈난새,대출 조여 집값 잡으려는 정부…직장인들 앉아서 이자만 더 뜯겨,경제>금융_재테크,경제>외환,경제>부동산,,,,"B은행, 신용대, 이모",가산,"정부, A은행, 이대, 우리은행, 한국은행, KORIBOR, 한은, 카카오뱅크","대출,집값,정부,직장인들,이자,개인,신용,점수,930점,1등급,16년,우리은행,신용,대출,금리,1.69%,1년,만기,연장,책정,금리,2.3,9%,그동안,추가,대출,소득,이씨,1년,금리,0.7%,포인트,사실,이해,은행,고객,센터,기준금리,우대금리,1%포인트,0.3%,포인트,축소,정부,정책,조치,별수,조건,대출,만기,연장,이씨,1년,76만,이자,추가,금리,은행,대출,코로나19,사태,최고,수준,산정,은행,변동,금리,기준,시장,지표,금리,금리,최종,대출,1년,1~2%,1~2%,포인트,안팎,이자,부담,소비자,속출,속도,가계,대출,증가,정부,압박,은행들,우대금리,가산금리,배경,가계,대출,증가세,집값,정부,죄기,대출,고삐,신용,대출,금리,기준,변동,시장,단기,금리,은행,가산,우대금리,조정,대출,금리,방증,은행들,금융당국,신용,대출,규제,강화,신용,대출,한도,절반,수준,축소,우대금리,실제,은행,신용,대출,금리,산정,지표,활용,코리보,KORIBOR,금융채,금리,1년,0.6,0.7%,안팎,유지,6월,0.6%,초반,금리,한은,전망,기준,금리,인상,반영,상승세,전환,7월,기준,0.76,0.77%,연간,상승,0.2%,포인트,기간,은행,신용,대출,금리,포인트,안팎,은행,우대금리,축소,가산금리,영향,연장,카카오뱅크,신용,대출,만기,직장인,사례,기준금리,금융채,기준,금리,가산,금리,1.320%,포인트,1.936%,금리,1000만,신용대출,장씨,만기,연장,가산,2.146%,통지,개인,신용,변화,가산금리,1년,0.826%,포인트,최종,금리,2.8%,여신,금융당국,현황,은행,가계,대출,점검,대출,각오,경고,대출,금리,인상,측면,고객,수용,은행,최후,수단,대출,증가세,금융,안팎,집값,각종,규제,집값,대출,수요,정부,대출,강화,악순환,지적,집값,담보가치,만큼,주택,담보,대출,규모,자체,강화,부동산,대출,규제,주담대,조달,부족,주택,매매,자금,신용대출,충당,영끌,보편화,가계,대출,급증,상황,대출,규제,강화,사람,이자,부담,가중,미래,실수요자,대출,기회,불만,대출,규제,고액,신용,대출,집중,개인,신용,부실,위험,대출,금융,상식,부행장,소득,속도,집값,대출,실수요,대출,정확,판단,해결,근본,원인,관리,대출,총량,방점,당장,대출,사람들,이자,상황,한국은행,대출,금리,1%포인트,가계,이자,부담,11조,절반,6조,저소득,중산층,속도,대출,금리,인상,가능성,한국은행,인상,연내,기준,금리,예고,금융당국,관리,가계,대출,증가,강화,공언,은행,대출,문턱,금융,관계자,가계,부담,자산,시장,버블,정책,정부,가계,부채,관리,가계,금융,비용,결과","신용대출,기준금리,금융채,직장인,가산금리,우대금리,증가세,만큼","개인 신용점수가 930점대(옛 1등급)인 16년차 직장인 이모씨는 지난해 7월 우리은행에서 신용대출 1억910만원을 연 1.69% 금리로 빌렸다... 1년이 지나 최근 만기를 연장하려고 보니 새로 책정된 금리는 연 2.39%였다... 그동안 추가로 받은 대출도 없고, 소득이 줄..은행 대출 금리가 코로나19 사태 이후 최고 수준으로 빠르게 치솟고 있다...",https://www.hankyung.com/economy/article/2021080135051
6,2021-08-01,부산일보,김준용,"[늦은 배웅] 7화 ‘코호트 격리 1호’ 서린요양원, 아직도 차별과 ‘전쟁 중’",문화>생활,문화>방송_연예,문화>출판,사고>교통사고>노상사고,,,"김, 마스크, 유일한, 김 모, 심","경북, 덴탈, 경산, 경산시, 고한, 대구","요양원, 코호트, 서린요양원, 요양, 김천의료원, 한창, PCR, 포항의료원","코호트,격리,서린요양원,차별,전쟁,38일,사투,소리,코로나,절망,나이,춤사위,할아버지,조기,할머니,아들,어르신,요양원,어르신,차례,세상,코로나,사투,간호사,요양보호사들,전국,코호트,격리,낙인,보호사,확진,직원,환자,감염,38일,세상,단절,간호사,직원,고군,분투,가족,어르신,세상,배달,외래,진료,냉대,격리,해제,격리,행복,일상,격리시설,전국,코호트,격리,시설,서린요양원,경북,경산,요양원,8명,어르신,코로나,세상,단절,요양보호사,요양,보호사,퇴근,친구,사우나,사우나,반나절,열흘,온몸,무렵,경산시,보건소,전화,밀접접촉자,코로나19,검사,다음날,다음날,선별진료소,이틀,확진자,코로나,사우나,친구,코로나,감염,자신,경산,서린요양원,전화,수화기,너머,얘기,심묘락,간호부장,대처,머릿속,그날,28일,서린요양원,세상,단절,전국,코호트,격리,사람,사람,코호트,격리,접촉,사람,특정,요양원,구조,정도,이틀째,코호트,격리,이틀,통근버스,요양,보호사,판정,코로나,확진,접촉,어르신,추정,공간,요양보호사들,유일,간호사,부장,혼자,어르신,혼자,어르신들,코로나,생각,마스크,인지능력,요양원,어르신,준수,방역,수칙,부장,덴탈,마스크,장갑,이틀,사흘,어르신,마스크,교육,마스크,부장,유일,보루,결과,PCR,검사,어르신들,초조,불안,코로나,존재,인식,정도,능력,4층,어르신,명씩,병원,고군분투,부장,감염,두려움,엄습,다음날,코호트,격리,병원,인산인해,카메라,전화기,사람들,취재진,가족,요양원,설명,얘기,여유,코로나,10년,요양보호사,동료들,안부,전화,요양원,식구,코로나,긴박,상황,박카스,세상,어르신들,서린요양원,직원,가슴,그림,성유진,작가,예고,이별,전화벨,전화,전화,당직,부장,전화,수화기,너머,보건소,2명,어르신,주민등록번호,보호자,연락처,어르신,생활,코로나,김천의료원,이송,주민등록번호,보호자,연락처,사망,암묵,부고,코로나,최전선,고생,처지,전화,너머,그날,코로나,하늘,할아버지,요양원,멋쟁이,요양보호사들,어르신,4시,요양원,거실,바퀴씩,코로나,한창,3월,양성,판정,소식,요양원,충격,건강,어르신,코로나,코로나,요양원,건강,사람,사람,꽃분이,할머니,대가족,중반,아들,후반,손자,증손자,4대,요양원,큰며느리,할머니,생신,조기,할머니,며느리,요양보호사,고개,코로나,감염,포항의료원,꽃분이,할머니,나이,회복,요양원,달만,할머니,컨디션,예전,2주,할머니,식사,잠자리,꽃분이,할머니,세상,식구들,요양원,식구,한마음,기도,천국,할아버지,해후,시설,마음,요양원,3개,78명,어르신,10명,요양보호사들,어르신,가족,어르신,어르신들,요양원,형태,요양원,마무리,마지막,요양보호사들,자식,어르신들,생활,말동무,밥동무,오랫동안,동고동락,정도,사이,때쯤,어르신들,이별,그날,숨소리,조금,요양보호사들,요양원,식구,어르신들,모습,서린요양원,제공,코로나,요양원,어르신,효잔치,서린요양원,제공,격리,코로나,일상,서린요양원,38일,코호트,격리,일상,세상,완전,격리,해제,허락,코호트,격리,요양원,배달,코로나,확진자,한편,이해,차별,상처,지인들,마스크,손소독제,방역,물품,요양원,택배,기사,요양원,거리,물건,진료,어르신,외래,대구,병원,주차,병원,현관,전화,무더기,코로나,확진자,당장,의지,서로,직원들,서로,서린,용사들,위로,코로나,어르신들,불효,생각,마음,코로나,요양원,음지,사람,방역,사실,다행,생각,관심,코호트,격리,반년,코로나,전국,마스크,어르신들,마스크,반복적,일상,1호,요양원,코로나,전쟁,가족,면회,제한,어르신들,기억,자식,존재,만남,자식들,이름,면회,칸막이,너머,자유,어르신들,노래,세상,어르신들,여생,조금,행복,코로나,완전,이별,용사들","코로나,요양원,어르신들,서린요양원,코호트,보호사,요양보호사,요양보호사들,다음날,간호사,1호,확진자"," 소리 없이 찾아온 코로나는 모두를 절망으로 빠뜨렸다... 코로나와 사투를 벌인 간호사, 요양보호사들에겐 .. 요양원에서 8명의 어르신이 코로나로 세상을 떠났다... 그러고 이틀 뒤 28일 코로나 확진자가 됐다... 사우나를 함께했던 친구로부터 코로나에 감염된 것이다.....코로나를 피할.. 뜻하지 않게 1호가 된 요양원은 여전히 코로나와 전쟁 중이다...",http://www.busan.com/view/busan/view.php?code=2021073018153032541
7,2021-08-01,한국경제,김수영,"[속보] 화이자 25%·모더나 10%, EU 코로나 백신 가격 인상",경제>유통,경제>자동차,경제>국제경제,,,,,"미국, 영국, 유럽","EU, 유럽연합, 로이터 통신, 파이낸셜타임스, 화이자, FT, 모더나","25%·모더,10%,,EU,코로나,백신,가격,인상,화이자,미국,제약,업체,모더나,유럽연합,EU,공급,감염증,신종,코로나바이러스,코로나19,백신,가격,인상,보도,로이터,통신,1일,현지시간,영국,파이낸셜타임스,FT,인용,화이자,EU,코로나19,백신,공급,계약,백신,가격,25%,모더나,10%,인상,10%,보도,유럽,공급,1회,코로나19,백신,가격,15.5유로,19.5유로,2만,모더,백신,가격,22.6달러,25.5달러,2만,상승","코로나19,2만,화이자,모더나,미국,모더,유로,eu,코로나바이러스,코로나,파이낸셜타임스,영국,로이터,유럽연합,감염증,유럽,1회,ft,백신,인상,공급,가격,보도,달러,신종,시간,현지,인용,통신,업체,제약,계약,상승","미국 제약업체 화이자와 모더나가 유럽연합(EU)에 공급하는 신종 코로나바이러스 감염증(코로나19) 백신 가격을 인상했다는 보도가 나왔다.....코로나19 백신의 공급 계약에서 백신 가격을 25% 이상, 모더나는 10% 이상 인상했..이에 따라 유럽에 공급되는 코로나19 백신 1회분의 가격은 기존 15.5유로에서 19.5유로(약 2만6700원)로 올랐다...",https://www.hankyung.com/international/article/2021080136917
8,2021-08-01,MBC,이유경,배구 한일전에 감동…태극기 정상에 올릴게요,스포츠>골프,스포츠>올림픽_아시안게임,스포츠>월드컵,,,,박세리,"한국, 대한민국, 일본, 한일전, 경기","LPGA, 코리아, 태극기, 배구대표팀, 대표팀, 골프대표팀","배구,한일,감동,태극기,정상,앵커,세계,최강,여자,골프,대표,현지,도착,훈련,어벤쥬스,별명,여자,배구,대표,한일전,경기,각오,현지,이유경,리포트,표정,훈련,골프대표팀,먼저,얘기,배구,한일전,김효주,골프,대표팀,역전,소름,소름,선수들,박인비,골프,대표팀,감동적,불가능,스포츠,고진영,골프,대표팀,선수들,골프,대표,선수,일본,한국,태극기,정상,LPGA,무대,호령,박인비,고진영,김세영,김효주,코리아,모자,유니폼,스스로,팀명,김효주,골프,대표팀,어벤져스,말씀,달달,쥬스,어벤쥬스,분위기,경기장,적응,김세영,골프,대표팀,연습,라운드,코스,체크,일본,지형,일본,코스,특성,연습,준비,감독,박세리,승부,약속,박세리,여자,감독,골프,대표,대한민국,국민,응원,분들,코로나,에너지,전달,선수들,세계,정상급,선수,구성,어벤쥬스,여자,골프,금메달,드라이버","한일전,어벤쥬스,선수들,일본,박세리,김효주,고진영,박인비,김세영,골프대표팀,대표팀,분들,금메달,태극기,경기장,이유경,어벤져스,정상급,대한민국,lpga,코로나,불가능,달달,팀명,코리아,한국,한일","◀ 앵커 ..▶ .. ..세계 최강 여자 골프대표팀이 현지에 도착해 첫 훈련을 가졌습니다... .. .. ..스스로 ..'어벤쥬스'라는 별명도 지었다는데 어제 여자 배구대표팀 한일전 경기를 지켜보고 각오를 새롭게 다졌다고 합니다... .. .. ..현지에서..'아 이제 코로나도, 지금 이 시기는 다 지났다'는 그런 좋은 에너지를 전달해드리고 싶어요. ..",https://imnews.imbc.com/replay/2021/nwdesk/article/6290636_34936.html
9,2021-08-01,KBS,김석,현실의 잔혹함 일깨우는 현대적 괴담의 세계…편혜영 ‘아오이가든’,문화>출판,문화>미술_건축,문화>방송_연예,,,,"잭슨, 편혜영","사스, 홍콩, 한국, 저수지","한국문학평론가협회, 현대, KBS, 문화부, KBS 뉴스9","현실,잔혹,현대,괴담,세계,편혜영,아오이,앵커,기자들,KBS,문화부,기획코너,시대,소설,KBS,한국문학평론가협회,공동,선정,50편,한국,소설,차례,1일,언급,작품,2005년,편혜영,작가,가든,소설,아오이,코로나,사태,시점,음미,작품,김석,리포트,개구리들,바닥,역병,창궐,도시,거리,쓰레기,악취,역병,발생,아파트,사람들,출구,희망,뉴스9,KBS,홍콩,보건,당국,사스,집단감염,아파트단지,외부,격리,취재파일,KBS,취재,파일,음식,생필품,공급,전염병,외부,확산,홍콩,사스,공포,참혹,소설,아오이,코로나,신음,현실,편혜영,소설가,정체불명,전염병,원인,불명,전염병,자체,현대,문명,비이성적,야만적,상태,흥미,공간,상징적,공간,소설,문장,의문,사건,시신,실종,등장,편혜영,소설들,소설,인물들,소설,인물,가난,질병,죽음,문턱,여학생,실종,저수지,엄마,죽음,아이들,추위,배고픔,맨홀,사람들,실제,사건,영감,작가,자본주의,문명,틈새,지옥,사회,약자,응시,편혜영,소설가,저수지,소설,맨홀,소설,사람들,사람들,보호,사람들,유기,상태,생활,상황,소설,소재,사용,이성,과학,설명,중세,괴담,세계,문학계,편혜영,소설집,상상력,충격,이광호,문학평론가,도시,괴기,일들,것들,예견,소설,독자,현대적,느낌,소설,한국,작가,세계,문학상,호러,미스터리,셜리,잭슨,해외,주목,편혜영,작가,소설,실패,실망,소설,편혜영,소설가,실패,실망,보통,소설,그다음,작품,생각,소설,KBS,김석,KBS,촬영기자,박장빈,영상편집,김근환,삽화제작,김현수,자막제작,기연지","편혜영,kbs,전염병,홍콩,현대,김석,사스,사람들,아오이,저수지,한국,소설가,잭슨,셜리,코로나,문화부,시간date,취재파일,뉴스9,김근환,영상편집,삽화제작",[앵커] .. ..매주 이 시간 KBS 문화부 기자들이 전해드리고 있는 기획코너 ..'우리 시대의 소설'입니다. .. ..KBS와 한국문학평론가협회가 공동으로 선정한 한국 소설 50편을 차례로 만나보는 시간입니다. ..코로나 사태를 맞은 지금 시점에서 더욱 음미할 만한 부분이 많은 작품입니다. .. 코로나에 신음하는 지금 현실과 놀랍도록 닮았습니다. ..,https://news.kbs.co.kr/news/view.do?ncd=5246426&ref=DA
10,2021-08-01,KBS,황정호,"신규 확진 1,442명…정부 “확산세 이어지면 추가 조치 검토”",사회>의료_건강,,,,,,,"경기, 부산, 서울, 수도권, 충남","아스트라제네카, 앙재난안전대책본부장, 예방접종센터, 이대, 정부, 화이자","1,442명,신규,확진,정부,확산세,검토,추가,조치,앵커,기준,주말,1,400명,기록,26일,자릿수,위중증,환자,3백,이틀,연속,정부,확산세,추가,조치,상반기,대상자,60살,고령자,미접종자,사전예약,시작,황정호,보도,리포트,코로나19,확진자,위증증,환자,환자,기준,위중증,324명,하루,317명,하루,300명,7명,코로나19,사람,3명,누적,치명률,1.05%,기준,코로나19,신규,확진자,1,442명,집계,1,386명,발생,56명,해외,유입,주말,기록,정부,확산세,추가,조치,검토,입장,김부겸,중앙재난안전대책본부장,확산세,반전,정부,방역,조치,2주,광복절,연휴,위기,직면,발생,기준,서울,경기,수도권,집중,수도,비중,70%,비수도권,부산,충남,12일,1주일,천563명,하루,평균,발생,하루,평균,501명,확진자,백신,접종자,정도,정도,접종,인구,대비,37.9%,수준,2차,접종,13.9%,인구,대비,13.9%,정부,8월,접종계획,2일,상반기,대상자,60살,74살,미접종자,미접,종자,사전,예약,진행,예약기간,이달,접종,5일,3일,아스트라제네카,백신,75살,미접,종자,개별,예약,가능,예약,예방접종센터,백신,접종,영상편집,최정연","미접종자,확진자,코로나19,수도권,확산세,위중증,75살,74살,고령자,부산,충남,황정호,상반기,서울,442명,접종자,미접,386명","[앵커] .. .. 오늘 0시 기준 국내 코로나19 확진자는 주말에도 불구하고 1,400명대를 기록했습니다. .. .. 코로나19 확진자가 늘면서 위증증 환자 역시 꾸준히 늘고 있습니다. .. 코로나19로 숨진 사람은 3명 늘어 누적 2천98명으로 치명률은 1.05%입니다. .. 오늘 0시 기준 코로나19 신규 확진자는 1,442명으로 집계됐습니다. ..",https://news.kbs.co.kr/news/view.do?ncd=5246361&ref=DA
